"","tag_id","test_id","unique_exp_antenna","unique_bold_antenna","latency_exp1","latency_exp2","latency_exp3","latency_exp4","latency_exp5","latency_bold1","latency_bold2","latency_bold3","latency_bold4"
"212","0007A5C6D8","mixed11","5","4","0.146111111111111","0.200833333333333","0.941666666666667","2.02444444444444","3.56138888888889","2.09833333333333","3.225","3.96","4.16361111111111"
"213","0007A5DFFB","mixed11","4","1","0.242777777777778","0.263611111111111","2.76416666666667","3.06833333333333",NA,"1.74111111111111",NA,NA,NA
"214","0007A5DA44","mixed11","4","4","0.247777777777778","0.884166666666667","0.908611111111111","1.42111111111111",NA,"0.483888888888889","1.91805555555556","2.31611111111111","2.38444444444444"
"215","0007A5D377","mixed11","4","4","2.11111111111111","3.56222222222222","4.27277777777778","4.30694444444444",NA,"0.249444444444444","2.88444444444444","2.89305555555556","4.82277777777778"
"216","0007A5DE97","mixed11","5","4","0.5075","0.638055555555555","1.27527777777778","1.95916666666667","1.96861111111111","3.14138888888889","3.19416666666667","3.20277777777778","4.14833333333333"
"217","0007A5DF18","mixed11","5","3","1.22722222222222","1.23194444444444","1.28","1.5025","1.83111111111111","2.32222222222222","2.89416666666667","3.63277777777778",NA
"218","0007A5C9B3","mixed12","5","2","0.00277777777777778","0.512222222222222","0.948888888888889","1.65138888888889","1.81666666666667","1.36222222222222","4.41527777777778",NA,NA
"219","0007A5D575","mixed12","5","2","0.0252777777777778","0.0380555555555556","0.121666666666667","0.503888888888889","1.37972222222222","0.135555555555556","2.36416666666667",NA,NA
"220","0007A3A5A6","mixed12","5","4","0.0386111111111111","0.0525","0.121388888888889","0.131388888888889","0.240833333333333","0.676388888888889","0.680277777777778","2.0875","2.47888888888889"
"221","0007A5DBB1","mixed12","5","2","0.0425","0.05","0.2025","0.536111111111111","0.691944444444444","1.22888888888889","4.57361111111111",NA,NA
"222","0007A38960","mixed12","5","4","0.153888888888889","0.155","0.179722222222222","0.304444444444444","0.655833333333333","0.0441666666666667","0.136666666666667","0.478055555555556","0.877777777777778"
"223","0007A5CC34","mixed12","5","2","0.0508333333333333","0.268888888888889","0.289722222222222","0.510277777777778","4.96694444444444","0.0822222222222222","2.82777777777778",NA,NA
"224","0007A5CDC7","mixed12","5","0","0.0580555555555556","0.658611111111111","0.965555555555556","1.35305555555556","1.37916666666667",NA,NA,NA,NA
"225","0007A5DEAF","mixed12","5","3","0.0622222222222222","0.142777777777778","0.868055555555556","0.888888888888889","1.1475","0.663055555555556","3.13777777777778","4.57361111111111",NA
"226","0007A5C773","mixed12","5","2","0.0647222222222222","0.0886111111111111","1.13611111111111","1.22055555555556","3.76166666666667","0.921388888888889","3.24083333333333",NA,NA
"227","0007A5D4F9","mixed12","5","1","0.0875","0.0961111111111111","0.155555555555556","0.176666666666667","0.189444444444444","0.116944444444444",NA,NA,NA
"228","0007A5C6E2","mixed12","5","0","0.0905555555555556","0.185833333333333","0.191111111111111","0.401944444444444","1.42472222222222",NA,NA,NA,NA
"229","0007A5D8B1","mixed12","5","1","0.0916666666666667","0.114166666666667","0.115","0.163888888888889","0.719722222222222","4.33638888888889",NA,NA,NA
"230","0007A5C777","mixed12","5","2","0.109166666666667","0.973055555555556","1.50027777777778","3.66277777777778","4.56555555555556","0.104166666666667","0.235277777777778",NA,NA
"231","0007A5D995","mixed12","5","4","0.143055555555556","0.212222222222222","0.797222222222222","2.27666666666667","2.53194444444444","0.195833333333333","0.325555555555556","1.22861111111111","1.3175"
"232","0007A5CEBD","mixed12","5","2","0.159166666666667","1.57416666666667","1.80333333333333","1.82833333333333","2.25861111111111","0.308333333333333","3.89861111111111",NA,NA
"233","0007A5CE1B","mixed12","5","2","0.199166666666667","0.266111111111111","0.558888888888889","0.949166666666667","1.29416666666667","0.711388888888889","3.01972222222222",NA,NA
"234","0007A5D487","mixed12","4","0","0.215555555555556","0.259444444444444","0.261666666666667","0.321388888888889",NA,NA,NA,NA,NA
"235","0007A3BDAC","mixed12","4","4","1.26444444444444","1.28555555555556","1.345","2.60138888888889",NA,"0.448611111111111","2.58416666666667","3.84722222222222","4.57527777777778"
"236","0007A5DC7A","mixed12","5","0","0.986388888888889","1.26111111111111","1.26333333333333","1.55361111111111","1.99166666666667",NA,NA,NA,NA
"237","0007A5CCFC","mixed12","2","0","3.425","4.57416666666667",NA,NA,NA,NA,NA,NA,NA
